personal_income,ai_use_rate,avg_use_time,leisure_score,utility_score,sample_count
100만원 미만,9.4,39.78,22,32.246875,16
100만원 ~ 200만원,8.4,54.9,11.30333333,18.585,30
200만원 ~ 300만원,11.6,35.28,2.252,3.205786942,150
300만원 ~ 400만원,15,33.14,1.971428571,2.980407407,189
400만원 ~ 500만원,10,35.12,7.846808511,10.7067865,47
500만원 ~ 600만원,10,47.89,17.26190476,23.69404762,21
600만원 ~ 700만원,8.5,31.17,63.06666667,78.15,6
700만원 이상,13.8,51.88,133.3333333,266.6666667,3
소득없음,13.9,61.79,3.519607843,4.659491979,102
